Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2016-01-01,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-02,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-03,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-04,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-05,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-06,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-07,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-08,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-09,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-10,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-11,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-12,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-13,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-14,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-15,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-16,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-17,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-18,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-19,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-20,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-21,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-22,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-23,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-24,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-25,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-26,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-27,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-28,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-29,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-30,,,,,,,Agriculture,BAL,,,,,0,,,
2016-01-31,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-01,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-02,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-03,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-04,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-05,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-06,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-07,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-08,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-09,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-10,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-11,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-12,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-13,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-14,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-15,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-16,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-17,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-18,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-19,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-20,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-21,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-22,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-23,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-24,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-25,,,,,,,Agriculture,BAL,,,,,0,,,
2016-02-26,,,,,,,Agriculture,BAL,,,,,0,,,
